name;age;segment;city;zip_code;state;region
Naresj Patel;44.0;Small Business;Irving;75061;Texas;Central
Guy Armstrong;44.0;Corporate;Kokomo;46901;Indiana;Central
Jonathan Doherty;44.0;Corporate;Goldsboro;27534;North Carolina;South
Mark Cousins;44.0;Home Office;Warren;48093;Michigan;Central
Alex Avila;44.0;Home Office;Manhattan;66502;Kansas;Central
Xylona Price;44.0;Corporate;Bowling Green;43402;Ohio;East
Giulietta Dortch;44.0;Small Business;Sunnyvale;94086;California;West
Michael Granlund;44.0;Home Office;Burnsville;55337;Minnesota;Central
Pierre Wener;44.0;Home Office;Bennington;5201;Vermont;East
Joseph Airdo;44.0;Consumer;Creve Coeur;63141;MO;Central
Pete Takahito;44.0;Corporate;Baldwin;15234;Pennsylvania;East
Ben Peterman;44.0;Corporate;Portland;4101;Maine;East
Evan Bailliet;44.0;Corporate;Boynton Beach;33437;Florida;South
Pierre Wener;44.0;Home Office;Clifton;7011;New Jersey;East
Thea Hudgings;44.0;Consumer;Jacksonville;32216;Florida;South
Rob Haberlin;44.0;Corporate;Mason City;50401;Iowa;Central
Doug O'Connell;44.0;Small Business;Oxnard;93030;California;West
Art Miller;44.0;Corporate;Littleton;80122;Colorado;West
Christopher Martinez;44.0;Small Business;Thornton;80229;Colorado;West
Larry Hughes;44.0;Home Office;Midland;79701;Texas;Central
Henry Goldwyn;44.0;Small Business;Coral Springs;33065;Florida;South
Eva Jacobs;44.0;Home Office;Broomfield;80020;Colorado;West
Dorothy Wardle;44.0;Corporate;Saint Charles;60174;Illinois;Central
Dennis Kane;44.0;Small Business;Commack;11725;New York;East
Tony Molinari;44.0;Corporate;Fairfield;94533;California;West
Ryan Crowe;44.0;Small Business;North Miami Beach;33160;Florida;South
Shahid Collister;44.0;Home Office;Sheboygan;53081;Wisconsin;Central
Shahid Collister;44.0;Home Office;Racine;53402;Wisconsin;Central
Adrian Shami;44.0;Consumer;Redmond;98052;Washington;West
Tracy Collins;44.0;Corporate;Kendall;33156;Florida;South
John Castell;44.0;Small Business;Pottstown;19464;Pennsylvania;East
Joy Smith;44.0;Consumer;West Lafayette;47906;Indiana;Central
Debra Catini;44.0;Small Business;West Scarborough;4070;Maine;East
Yana Sorensen;44.0;Corporate;Fairfield;94533;California;West
Jason Fortune;44.0;Corporate;Huntington;25705;West Virginia;East
Jim Epp;44.0;Small Business;Burke;22015;Virginia;South
Jamie Frazer;44.0;Small Business;Deland;32720;Florida;South
Anne Pryor;44.0;Consumer;Utica;13501;New York;East
Tonja Turnell;44.0;Consumer;Longview;98632;Washington;West
Don Miller;44.0;Home Office;Carbondale;62901;Illinois;Central
Bryan Mills;44.0;Small Business;Urbana;61801;Illinois;Central
Brian Dahlen;44.0;Small Business;Murfreesboro;37130;Tennessee;South
Arthur Wiediger;44.0;Corporate;San Antonio;78207;Texas;Central
Larry Blacks;44.0;Consumer;Hilton Head Island;29915;South Carolina;South
Becky Pak;44.0;Corporate;Portland;97206;Oregon;West
John Lee;44.0;Corporate;Jonesboro;72401;Arkansas;South
Giulietta Dortch;44.0;Corporate;Stockton;95207;California;West
Alyssa Tate;44.0;Small Business;Petaluma;94952;California;West
Liz Price;44.0;Corporate;Eastpointe;48021;Michigan;Central
Liz Price;44.0;Corporate;Farmington Hills;48336;Michigan;Central
Kean Nguyen;44.0;Corporate;Lima;45801;Ohio;East
Sylvia Foulston;44.0;Corporate;Mundelein;60060;Illinois;Central
Sung Shariari;44.0;Corporate;New Iberia;70560;Louisiana;South
Clytie Kelty;44.0;Small Business;Allentown;18103;Pennsylvania;East
Kean Nguyen;44.0;Corporate;Lorain;44052;Ohio;East
Steven Ward;44.0;Consumer;North Port;34287;Florida;South
Linda Southworth;44.0;Consumer;Palm Beach Gardens;33403;Florida;South
Denise Monton;44.0;Home Office;Apex;27502;North Carolina;South
Guy Armstrong;44.0;Corporate;Jeffersonville;47130;Indiana;Central
Michelle Moray;44.0;Corporate;Pleasure Ridge Park;40258;Kentucky;South
Dave Kipp;44.0;Corporate;Rancho Cucamonga;91730;California;West
Christy Brittain;44.0;Consumer;Santa Maria;93454;California;West
Mark Cousins;44.0;Corporate;Westland;48185;Michigan;Central
Sean Christensen;44.0;Home Office;New Berlin;53151;Wisconsin;Central
John Castell;44.0;Small Business;Shaker Heights;44118;Ohio;East
Michelle Moray;44.0;Corporate;Richmond;40475;Kentucky;South
Sean Christensen;44.0;Home Office;Oak Creek;53154;Wisconsin;Central
Mark Cousins;44.0;Corporate;Sharon;16146;Pennsylvania;East
Roger Demir;44.0;Consumer;Boise;83701;Idaho;West
Trudy Brown;44.0;Small Business;Hendersonville;37075;Tennessee;South
Duane Huffman;44.0;Small Business;Lake Jackson;77566;Texas;Central
Cynthia Arntzen;44.0;Home Office;Abilene;79605;Texas;Central
Ionia McGrath;44.0;Home Office;Decatur;35601;Alabama;South
Luke Schmidt;44.0;Home Office;Rock Hill;29730;South Carolina;South
Ann Blume;44.0;Corporate;Gainesville;76240;Texas;Central
Sean Miller;44.0;Small Business;Oak Creek;53154;Wisconsin;Central
Frank Hawley;44.0;Home Office;Yakima;98902;Washington;West
Bill Overfelt;44.0;Corporate;Dayton;45406;Ohio;East
Nona Balk;44.0;Corporate;Lafayette;70506;Louisiana;South
Nona Balk;44.0;Corporate;Lake Charles;70601;Louisiana;South
Neil Ducich;44.0;Home Office;Edina;55410;Minnesota;Central
Bryan Mills;44.0;Small Business;Vernon Hills;60061;Illinois;Central
Roy Skaria;44.0;Corporate;Fruit Cove;32259;Florida;South
Brad Thomas;44.0;Home Office;Millville;8332;New Jersey;East
Darren Budd;44.0;Corporate;Amarillo;79109;Texas;Central
Benjamin Patterson;44.0;Corporate;Kingman;86401;Arizona;West
Stephanie Phelps;44.0;Consumer;Kirkland;98034;Washington;West
Jennifer Braxton;44.0;Small Business;Schererville;46375;Indiana;Central
Cynthia Arntzen;44.0;Home Office;Amarillo;79109;Texas;Central
Harold Ryan;44.0;Home Office;Westlake;44145;Ohio;East
Allen Rosenblatt;44.0;Small Business;Alton;62002;Illinois;Central
Erin Creighton;44.0;Corporate;Carrollton;75007;Texas;Central
Brad Eason;44.0;Small Business;Urbana;61801;Illinois;Central
Michelle Huthwaite;44.0;Home Office;Cloverleaf;77015;Texas;Central
Cindy Chapman;44.0;Consumer;Oro Valley;85737;Arizona;West
Saphhira Shifley;44.0;Consumer;Charleston;29418;South Carolina;South
Roy Skaria;44.0;Corporate;Hays;67601;Kansas;Central
Tim Brockman;44.0;Consumer;Twin Falls;83301;Idaho;West
Art Ferguson;44.0;Corporate;Richfield;55423;Minnesota;Central
Jennifer Ferguson;44.0;Corporate;Greeneville;37743;Tennessee;South
Philip Fox;44.0;Home Office;Clarksburg;26301;West Virginia;East
Philip Fox;44.0;Home Office;Brentwood;37027;Tennessee;South
Charlotte Melton;44.0;Home Office;Buffalo Grove;60089;Illinois;Central
Chris Selesnick;44.0;Home Office;Steubenville;43952;Ohio;East
Dennis Kane;44.0;Small Business;Central Islip;11722;New York;East
Kelly Lampkin;44.0;Home Office;Georgetown;78626;Texas;Central
Sean O'Donnell;44.0;Corporate;Sandusky;44870;Ohio;East
Kelly Lampkin;44.0;Home Office;Grand Prairie;75051;Texas;Central
Dionis Lloyd;44.0;Small Business;Coram;11727;New York;East
Jim Sink;44.0;Corporate;Harrisburg;17112;Pennsylvania;East
Roland Fjeld;44.0;Corporate;El Centro;92243;California;West
Natalie Webber;44.0;Corporate;Miami;33142;Florida;South
Tamara Chand;44.0;Consumer;Pasadena;77506;Texas;Central
Laurel Beltran;44.0;Consumer;Hilton Head Island;29915;South Carolina;South
Nick Zandusky;44.0;Small Business;Tucker;30084;Georgia;South
Anne Pryor;44.0;Home Office;Utica;13501;New York;East
Anne Pryor;44.0;Home Office;Troy;12180;New York;East
Harold Engle;44.0;Consumer;Lafayette;47905;Indiana;Central
Michelle Ellison;44.0;Home Office;Greenfield;53220;Wisconsin;Central
Laurel Elliston;44.0;Corporate;East Massapequa;11758;New York;East
Erin Ashbrook;44.0;Consumer;Flower Mound;75028;Texas;Central
Odella Nelson;44.0;Small Business;Whitehall;43213;Ohio;East
Carl Weiss;44.0;Consumer;Columbus;39701;Mississippi;South
Noel Staavos;44.0;Home Office;Providence;2908;Rhode Island;East
Gary Hwang;44.0;Home Office;Coconut Creek;33063;Florida;South
Noel Staavos;44.0;Home Office;Cheshire;6408;Connecticut;East
Noel Staavos;44.0;Home Office;Englewood;7631;New Jersey;East
Noel Staavos;44.0;Home Office;Bangor;4401;Maine;East
Noel Staavos;44.0;Home Office;Burlington;5401;Vermont;East
Brian Thompson;44.0;Home Office;Clayton;63105;MO;Central
Ashley Jarboe;44.0;Home Office;Gilbert;85234;Arizona;West
Lycoris Saunders;44.0;Corporate;Mehlville;63129;MO;Central
Ben Ferrer;44.0;Corporate;Cuyahoga Falls;44221;Ohio;East
Duane Huffman;44.0;Consumer;Laredo;78041;Texas;Central
Nat Gilpin;44.0;Consumer;Midwest City;73110;Oklahoma;Central
Roy Collins;44.0;Corporate;Collierville;38017;Tennessee;South
Roy Collins;44.0;Corporate;Columbia;38401;Tennessee;South
Sonia Sunley;44.0;Small Business;Leavenworth;66048;Kansas;Central
Edward Nazzal;44.0;Home Office;Waco;76706;Texas;Central
Fred Wasserman;44.0;Home Office;Chambersburg;17201;Pennsylvania;East
Aleksandra Gannaway;44.0;Corporate;Terrytown;70056;Louisiana;South
Patrick O'Brill;44.0;Home Office;Holland;49423;Michigan;Central
Sanjit Engle;44.0;Home Office;Hollywood;33021;Florida;South
Matt Collister;44.0;Home Office;Cloverleaf;77015;Texas;Central
Georgia Rosenberg;44.0;Consumer;Alexandria;22304;Virginia;South
Sylvia Foulston;44.0;Corporate;Laconia;3246;New Hampshire;East
Shaun Chance;44.0;Corporate;Coeur D Alene;83814;Idaho;West
Eleni McCrary;44.0;Corporate;South Hadley;1075;MA;East
Becky Castell;44.0;Consumer;Batavia;60510;Illinois;Central
Patrick O'Brill;44.0;Home Office;Inkster;48141;Michigan;Central
Victoria Wilson;44.0;Home Office;West Bend;53095;Wisconsin;Central
Annie Thurman;44.0;Consumer;Murray;84107;Utah;West
Carlos Soltero;44.0;Small Business;Columbus;47201;Indiana;Central
Art Foster;44.0;Home Office;Highlands Ranch;80126;Colorado;West
Steve Nguyen;44.0;Small Business;Toledo;43615;Ohio;East
Tom Stivers;44.0;Corporate;Rotterdam;12306;New York;East
Shaun Weien;44.0;Home Office;Minnetonka Mills;55343;Minnesota;Central
Nora Price;44.0;Small Business;Richmond;23223;Virginia;South
Ross Baird;44.0;Corporate;North Miami;33161;Florida;South
Maxwell Schwartz;44.0;Corporate;Raleigh;27604;North Carolina;South
Cari MacIntyre;44.0;Corporate;Seguin;78155;Texas;Central
Joni Blumstein;44.0;Consumer;Enid;73703;Oklahoma;Central
Angele Hood;44.0;Consumer;Olathe;66062;Kansas;Central
Bill Donatelli;44.0;Corporate;Grand Island;68801;Nebraska;Central
Alan Hwang;44.0;Corporate;Round Rock;78664;Texas;Central
Lisa DeCherney;44.0;Corporate;Liberal;67901;Kansas;Central
Todd Boyes;44.0;Small Business;Waukesha;53186;Wisconsin;Central
Aaron Hawkins;44.0;Home Office;San Gabriel;91776;California;West
Hunter Lopez;44.0;Consumer;Auburn;4210;Maine;East
Hunter Lopez;44.0;Consumer;Hopkins;55305;Minnesota;Central
Candace McMahon;44.0;Corporate;Morgantown;26501;West Virginia;East
Valerie Takahito;44.0;Consumer;Titusville;32780;Florida;South
Jeremy Ellison;44.0;Small Business;Friendswood;77546;Texas;Central
Joy Smith;44.0;Consumer;South Bend;46614;Indiana;Central
Jonathan Doherty;44.0;Corporate;Gastonia;28052;North Carolina;South
Mark Van Huff;44.0;Home Office;Owensboro;42301;Kentucky;South
Jill Matthias;44.0;Consumer;Laguna Hills;92653;California;West
Phillina Ober;44.0;Small Business;Winchester;22601;Virginia;South
Denny Joy;44.0;Corporate;Belle Glade;33430;Florida;South
Mick Brown;44.0;Consumer;Coachella;92236;California;West
Helen Andreada;44.0;Corporate;Ozark;65721;MO;Central
Muhammed MacIntyre;44.0;Small Business;Joliet;60432;Illinois;Central
Astrea Jones;44.0;Corporate;Newark;7101;New Jersey;East
Juliana Krohn;44.0;Corporate;San Francisco;94110;California;West
Darrin Van Huff;44.0;Home Office;Henderson;42420;Kentucky;South
Cari Sayre;44.0;Corporate;Pleasant Grove;84062;Utah;West
Bill Eplett;44.0;Corporate;Albemarle;28001;North Carolina;South
Ken Lonsdale;44.0;Consumer;West Linn;97068;Oregon;West
Michael Granlund;44.0;Home Office;Cottage Grove;55016;Minnesota;Central
Amy Hunt;44.0;Small Business;Knoxville;37918;Tennessee;South
Sarah Jordon;44.0;Consumer;Maplewood;55119;Minnesota;Central
Ken Lonsdale;44.0;Consumer;University City;63130;MO;Central
Michael Stewart;44.0;Small Business;Coachella;92236;California;West
Denise Leinenbach;44.0;Corporate;Saco;4072;Maine;East
Sylvia Foulston;44.0;Corporate;Londonderry;3053;New Hampshire;East
Barry Franz;44.0;Corporate;Norwalk;6855;Connecticut;East
Ken Lonsdale;44.0;Consumer;Louisville;80027;Colorado;West
Carlos Soltero;44.0;Consumer;Anderson;46016;Indiana;Central
Ed Jacobs;44.0;Small Business;Norwich;6360;Connecticut;East
Brendan Sweed;45.0;Consumer;Seattle;98115;Washington;West
Brendan Sweed;44.0;Consumer;Seattle;98115;Washington;West
Darren Powers;44.0;Corporate;Denton;76201;Texas;Central
Ed Jacobs;44.0;Small Business;Roseville;95661;California;West
Michelle Tran;44.0;Consumer;Cumberland;21501;Maryland;East
Michelle Tran;45.0;Consumer;Cumberland;21501;Maryland;East
Lisa DeCherney;45.0;Corporate;Harrisonburg;22801;Virginia;South
Michael Nguyen;45.0;Small Business;Watertown;57201;South Dakota;Central
Hilary Holden;45.0;Corporate;Muncie;47302;Indiana;Central
Brooke Gillingham;45.0;Small Business;Redmond;97756;Oregon;West
Lena Radford;45.0;Small Business;Appleton;54915;Wisconsin;Central
Ed Ludwig;45.0;Consumer;Eagle Pass;78852;Texas;Central
Ed Ludwig;45.0;Consumer;Edinburg;78539;Texas;Central
Michelle Ellison;45.0;Small Business;Green Bay;54302;Wisconsin;Central
Michelle Tran;45.0;Home Office;Cumberland;21501;Maryland;East
Jack Lebron;45.0;Corporate;Richmond;47374;Indiana;Central
Steven Roelle;45.0;Small Business;Lacey;98503;Washington;West
Greg Guthrie;45.0;Small Business;Lafayette;47905;Indiana;Central
Greg Matthias;45.0;Small Business;Fort Collins;80525;Colorado;West
Greg Guthrie;45.0;Small Business;Indianapolis;46203;Indiana;Central
Suzanne McNair;45.0;Small Business;Shreveport;71109;Louisiana;South
Thea Hudgings;45.0;Consumer;Jacksonville;32216;Florida;South
Jack O'Briant;45.0;Consumer;Biloxi;39530;Mississippi;South
Patrick O'Donnell;45.0;Home Office;Manitowoc;54220;Wisconsin;Central
Mathew Reese;45.0;Small Business;Levittown;11756;New York;East
Liz MacKendrick;45.0;Corporate;Mechanicsville;23111;Virginia;South
David Bremer;45.0;Corporate;Redlands;92374;California;West
Paul MacIntyre;45.0;Corporate;Aberdeen;57401;South Dakota;Central
David Bremer;45.0;Corporate;Redondo Beach;90278;California;West
George Zrebassa;45.0;Home Office;Portsmouth;3801;New Hampshire;East
John Stevenson;45.0;Small Business;Hempstead;11550;New York;East
Dennis Kane;45.0;Small Business;Cheektowaga;14225;New York;East
Tim Taslimi;45.0;Corporate;Beverly Hills;90210;California;West
Sibella Parks;45.0;Small Business;Bend;97701;Oregon;West
Gary Zandusky;45.0;Home Office;Weslaco;78596;Texas;Central
Eric Barreto;45.0;Small Business;Cranston;2920;Rhode Island;East
Toby Swindell;45.0;Small Business;Hendersonville;37075;Tennessee;South
Eric Barreto;45.0;Small Business;New Britain;6050;Connecticut;East
Henry Goldwyn;45.0;Small Business;Coral Springs;33065;Florida;South
Michael Chen;45.0;Consumer;Niagara Falls;14304;New York;East
Michael Chen;45.0;Consumer;North Tonawanda;14120;New York;East
Benjamin Venier;45.0;Small Business;Fresno;93727;California;West
Emily Ducich;45.0;Consumer;Altamonte Springs;32701;Florida;South
Susan MacKendrick;45.0;Corporate;Ocoee;34761;Florida;South
Joni Blumstein;45.0;Home Office;Midwest City;73110;Oklahoma;Central
Dennis Pardue;45.0;Small Business;Charlotte;28205;North Carolina;South
Dennis Pardue;45.0;Small Business;Concord;28027;North Carolina;South
Sean Wendt;45.0;Corporate;Minnetonka Mills;55343;Minnesota;Central
Elpida Rittenbach;45.0;Consumer;Wilmington;19805;Delaware;East
Nora Paige;45.0;Small Business;Colchester;6415;Connecticut;East
Darren Budd;45.0;Consumer;Bedford;76021;Texas;Central
Valerie Takahito;45.0;Consumer;Troutdale;97060;Oregon;West
Valerie Takahito;45.0;Consumer;Tampa;33614;Florida;South
Linda Southworth;45.0;Consumer;Oviedo;32765;Florida;South
Julie Prescott;45.0;Home Office;Parkersburg;26101;West Virginia;East
Julie Prescott;45.0;Home Office;Webster Groves;63119;MO;Central
Michelle Arnett;45.0;Home Office;Marion;52302;Iowa;Central
Steve Nguyen;45.0;Consumer;Stow;44224;Ohio;East
Anna Andreadi;45.0;Small Business;Olathe;66062;Kansas;Central
Mark Packer;45.0;Small Business;Chula Vista;91911;California;West
Eric Hoffmann;45.0;Small Business;Apopka;32712;Florida;South
Sandra Glassco;45.0;Home Office;Minot;58701;North Dakota;Central
Denise Leinenbach;45.0;Home Office;South Portland;4106;Maine;East
Yana Sorensen;45.0;Corporate;Fairfield;94533;California;West
Victoria Pisteka;45.0;Corporate;Camarillo;93010;California;West
Elpida Rittenbach;45.0;Consumer;Newark;19711;Delaware;East
Pamela Coakley;45.0;Corporate;Mentor;44060;Ohio;East
Steven Ward;45.0;Consumer;North Port;34287;Florida;South
Karen Carlisle;45.0;Corporate;San Francisco;94110;California;West
Harold Dahlen;45.0;Corporate;Pendleton;97801;Oregon;West
Logan Haushalter;45.0;Corporate;New City;10956;New York;East
Edward Becker;45.0;Home Office;Edinburg;78539;Texas;Central
Christina Vanderzanden;45.0;Small Business;Newton;50208;Iowa;Central
Eric Barreto;45.0;Small Business;Inglewood;90301;California;West
Edward Becker;45.0;Home Office;El Paso;79907;Texas;Central
Justin MacKendrick;45.0;Corporate;Hicksville;11801;New York;East
Deborah Brumfield;45.0;Small Business;Palisades Park;7650;New Jersey;East
Deborah Brumfield;45.0;Small Business;Holyoke;1040;MA;East
Victoria Brennan;45.0;Small Business;Pasco;99301;Washington;West
Tom Prescott;45.0;Small Business;Burbank;91505;California;West
Victoria Brennan;45.0;Small Business;Pullman;99163;Washington;West
Carol Triggs;45.0;Home Office;West Seneca;14224;New York;East
Deborah Brumfield;45.0;Small Business;Framingham;1701;MA;East
Deborah Brumfield;45.0;Small Business;South Portland;4106;Maine;East
Catherine Glotzbach;45.0;Home Office;Springfield;97477;Oregon;West
Eric Barreto;45.0;Consumer;Burlington;5401;Vermont;East
Roy Phan;45.0;Consumer;Bremerton;98310;Washington;West
Clytie Kelty;45.0;Small Business;Allentown;18103;Pennsylvania;East
Pierre Wener;45.0;Home Office;Burlington;5401;Vermont;East
Dave Poirier;45.0;Small Business;Carteret;7008;New Jersey;East
Dave Poirier;45.0;Small Business;Rancho Cucamonga;91730;California;West
Larry Hughes;45.0;Home Office;Midland;79701;Texas;Central
Dianna Wilson;45.0;Small Business;Lewiston;4240;Maine;East
Dianna Wilson;45.0;Small Business;Nashua;3060;New Hampshire;East
Sanjit Jacobs;45.0;Consumer;Louisville;80027;Colorado;West
Carl Ludwig;45.0;Corporate;Wheeling;60090;Illinois;Central
Amy Cox;45.0;Corporate;Visalia;93277;California;West
Grant Thornton;45.0;Corporate;Morgan Hill;95037;California;West
Sam Zeldin;45.0;Small Business;Reynoldsburg;43068;Ohio;East
Lela Donovan;45.0;Corporate;Sterling Heights;48310;Michigan;Central
Anthony Garverick;45.0;Small Business;Mint Hill;28227;North Carolina;South
Luke Schmidt;45.0;Home Office;Mount Pleasant;29464;South Carolina;South
Luke Schmidt;45.0;Home Office;Myrtle Beach;29577;South Carolina;South
Eric Barreto;45.0;Small Business;Springfield;1108;MA;East
Erica Hackney;45.0;Small Business;Chester;19013;Pennsylvania;East
Doug Bickford;45.0;Corporate;Saint Peters;63376;MO;Central
Chad McGuire;45.0;Small Business;Rockville;20852;Maryland;East
Pauline Chand;45.0;Small Business;Muskogee;74403;Oklahoma;Central
Doug Bickford;45.0;Corporate;Romeoville;60441;Illinois;Central
Bobby Elias;45.0;Small Business;North Pembroke;2358;MA;East
Bobby Elias;45.0;Small Business;San Mateo;94403;California;West
Gary Hwang;45.0;Home Office;Bradenton;34210;Florida;South
Lauren Leatherbury;45.0;Home Office;Albuquerque;87105;New Mexico;West
Dean Katz;45.0;Home Office;Redwood City;94061;California;West
Sam Craven;45.0;Home Office;Evans;30809;Georgia;South
Chad Sievert;45.0;Corporate;Savage;55378;Minnesota;Central
Philip Fox;45.0;Home Office;Bristol;37620;Tennessee;South
Lena Radford;45.0;Small Business;Berea;44017;Ohio;East
Bill Eplett;45.0;Corporate;Auburn;13021;New York;East
Rob Dowd;45.0;Corporate;Madison Heights;48071;Michigan;Central
Nathan Mautz;45.0;Corporate;Huntsville;35810;Alabama;South
Rob Dowd;45.0;Corporate;Midland;48640;Michigan;Central
Lena Radford;45.0;Small Business;Brookfield;53005;Wisconsin;Central
John Dryer;45.0;Corporate;Martinez;30907;Georgia;South
Skye Norling;45.0;Home Office;Mandan;58554;North Dakota;Central
Tamara Chand;45.0;Consumer;Pasadena;77506;Texas;Central
Adam Hart;45.0;Corporate;Lancaster;93534;California;West
Edward Nazzal;45.0;Home Office;Waxahachie;75165;Texas;Central
Mike Kennedy;45.0;Small Business;Eagan;55122;Minnesota;Central
Ed Ludwig;45.0;Consumer;Duncanville;75116;Texas;Central
Barbara Fisher;45.0;Small Business;Topeka;66614;Kansas;Central
Alex Russell;45.0;Home Office;Mcminnville;97128;Oregon;West
Helen Wasserman;45.0;Home Office;Elmira;14901;New York;East
Jill Matthias;45.0;Consumer;Laguna Hills;92653;California;West
Ted Butterfield;45.0;Corporate;Shirley;11967;New York;East
Ted Butterfield;45.0;Corporate;Smithtown;11787;New York;East
Lauren Leatherbury;45.0;Home Office;Durango;81301;Colorado;West
Penelope Sewall;45.0;Home Office;Boise;83701;Idaho;West
Tanja Norvell;45.0;Consumer;Saint Cloud;34769;Florida;South
Maribeth Dona;45.0;Home Office;Hawthorne;7506;New Jersey;East
Maribeth Dona;45.0;Home Office;Durango;81301;Colorado;West
Carl Jackson;45.0;Home Office;West Chicago;60185;Illinois;Central
Jim Sink;45.0;Corporate;Harrisburg;17112;Pennsylvania;East
Delfina Latchford;45.0;Small Business;Burbank;60459;Illinois;Central
Arthur Prichep;45.0;Home Office;Cleveland;44105;Ohio;East
Ken Black;45.0;Consumer;Rogers;72756;Arkansas;South
Michelle Ellison;45.0;Consumer;Green Bay;54302;Wisconsin;Central
John Grady;45.0;Corporate;Walker;49534;Michigan;Central
Craig Yedwab;45.0;Consumer;Prescott Valley;86314;Arizona;West
Julia Dunbar;45.0;Consumer;Woodstock;30188;Georgia;South
Edward Nazzal;45.0;Home Office;The Colony;75056;Texas;Central
Max Ludwig;45.0;Corporate;Paducah;42003;Kentucky;South
Karen Daniels;45.0;Consumer;Findlay;45840;Ohio;East
Katrina Willman;45.0;Consumer;Reston;20190;Virginia;South
Caroline Jumper;45.0;Corporate;Yonkers;10701;New York;East
Adam Hart;45.0;Corporate;Lawndale;90260;California;West
Susan Gilcrest;45.0;Home Office;Gainesville;30501;Georgia;South
Rick Duston;45.0;Corporate;Derby;67037;Kansas;Central
Rick Duston;45.0;Corporate;Marshfield;2050;MA;East
Jonathan Doherty;45.0;Corporate;Greenville;27834;North Carolina;South
Jonathan Doherty;45.0;Corporate;Greensboro;27405;North Carolina;South
Anthony Rawles;45.0;Small Business;Fountain;80817;Colorado;West
Mike Kennedy;45.0;Small Business;Cottage Grove;55016;Minnesota;Central
Matt Collister;45.0;Home Office;Catonsville;21228;Maryland;East
Ellis Ballard;45.0;Corporate;Camden;8101;New Jersey;East
Jay Fine;45.0;Consumer;Sacramento;95823;California;West
Matt Collister;45.0;Home Office;Cloverleaf;77015;Texas;Central
Christopher Schild;45.0;Corporate;East Chicago;46312;Indiana;Central
Marc Harrigan;45.0;Home Office;Sterling Heights;48310;Michigan;Central
Claudia Miner;45.0;Small Business;Quincy;62301;Illinois;Central
Claudia Miner;45.0;Small Business;Rock Island;61201;Illinois;Central
Erica Smith;45.0;Small Business;Walla Walla;99362;Washington;West
Erin Mull;45.0;Corporate;Bessemer;35020;Alabama;South
Dennis Pardue;45.0;Corporate;Charlotte;28205;North Carolina;South
Joni Blumstein;45.0;Consumer;Midwest City;73110;Oklahoma;Central
Dionis Lloyd;45.0;Small Business;Coram;11727;New York;East
David Smith;45.0;Small Business;Highland Village;75067;Texas;Central
Nicole Brennan;45.0;Home Office;Rock Springs;82901;Wyoming;West
Patrick Ryan;45.0;Corporate;Athens;30605;Georgia;South
Toby Swindell;45.0;Small Business;Gallatin;37066;Tennessee;South
Pauline Johnson;45.0;Corporate;Virginia Beach;23464;Virginia;South
Maribeth Schnelling;45.0;Corporate;Fairfax;20151;Virginia;South
Eva Jacobs;45.0;Home Office;Castle Rock;80104;Colorado;West
Michelle Arnett;45.0;Home Office;Iowa City;52240;Iowa;Central
Alejandro Ballentine;45.0;Small Business;Keizer;97303;Oregon;West
Chad Cunningham;46.0;Small Business;Peoria;61604;Illinois;Central
Carl Ludwig;46.0;Corporate;Wheeling;60090;Illinois;Central
Beth Paige;46.0;Consumer;Belleville;62223;Illinois;Central
Troy Blackwell;46.0;Home Office;Hazleton;18201;Pennsylvania;East
Grace Kelly;46.0;Consumer;American Fork;84003;Utah;West
Christine Abelman;46.0;Corporate;Spokane;99207;Washington;West
Helen Andreada;46.0;Corporate;Ozark;65721;MO;Central
Robert Marley;46.0;Corporate;Newark;43055;Ohio;East
Michael Paige;46.0;Small Business;Keene;3431;New Hampshire;East
Joni Sundaresam;46.0;Home Office;Midland;79701;Texas;Central
Carlos Soltero;46.0;Small Business;Wilmette;60091;Illinois;Central
Patrick O'Donnell;46.0;Home Office;Manitowoc;54220;Wisconsin;Central
Justin Ellison;46.0;Home Office;Meridian;39301;Mississippi;South
Resi Polking;46.0;Small Business;Boise;83704;Idaho;West
Anna Gayman;46.0;Corporate;Bartlesville;74006;Oklahoma;Central
Greg Matthias;46.0;Home Office;Englewood;80112;Colorado;West
Justin Ellison;46.0;Home Office;Olive Branch;38654;Mississippi;South
Greg Matthias;46.0;Home Office;Fort Collins;80525;Colorado;West
Paul Lucas;46.0;Corporate;Davis;95616;California;West
Brian Dahlen;46.0;Small Business;Morristown;37814;Tennessee;South
Chuck Clark;46.0;Corporate;Las Vegas;89115;Nevada;West
Paul Lucas;46.0;Corporate;Swansea;2777;MA;East
Chuck Clark;46.0;Corporate;North Las Vegas;89031;Nevada;West
Thais Sissman;46.0;Small Business;Port Charlotte;33952;Florida;South
Carol Darley;46.0;Small Business;Parker;80134;Colorado;West
Carol Darley;46.0;Small Business;Pueblo;81001;Colorado;West
Hilary Holden;46.0;Corporate;New Albany;47150;Indiana;Central
Harold Engle;46.0;Consumer;Merrillville;46410;Indiana;Central
Resi Polking;46.0;Small Business;Caldwell;83605;Idaho;West
Grant Thornton;46.0;Corporate;Moreno Valley;92553;California;West
Maureen Gastineau;46.0;Consumer;Marlborough;1752;MA;East
Maureen Gastineau;46.0;Consumer;Fair Lawn;7410;New Jersey;East
Lisa DeCherney;46.0;Consumer;Brookings;57006;South Dakota;Central
Muhammed Yedwab;46.0;Consumer;Petersburg;23805;Virginia;South
